antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'soda', 'milk', 'beer'})","frozenset({'chips', 'bread'})",0.35,0.4,0.3,0.8571428571428572,2.142857142857143,1.0,0.16,4.200000000000002,0.8205128205128205,0.6666666666666666,0.761904761904762,0.8035714285714286
"frozenset({'chips', 'bread'})","frozenset({'soda', 'milk', 'beer'})",0.4,0.35,0.3,0.7499999999999999,2.142857142857143,1.0,0.16,2.5999999999999988,0.888888888888889,0.6666666666666666,0.6153846153846152,0.8035714285714286
"frozenset({'chips', 'milk'})","frozenset({'beer', 'diapers', 'soda', 'bread'})",0.375,0.25,0.2,0.5333333333333333,2.1333333333333333,1.0,0.10625000000000001,1.6071428571428572,0.8500000000000001,0.4705882352941177,0.37777777777777777,0.6666666666666667
"frozenset({'beer', 'diapers', 'soda', 'bread'})","frozenset({'chips', 'milk'})",0.25,0.375,0.2,0.8,2.1333333333333333,1.0,0.10625000000000001,3.125000000000001,0.7083333333333333,0.4705882352941177,0.68,0.6666666666666667
"frozenset({'chips', 'bread'})","frozenset({'soda', 'milk'})",0.4,0.4,0.325,0.8125,2.03125,1.0,0.16499999999999998,3.1999999999999997,0.846153846153846,0.6842105263157895,0.6875,0.8125
"frozenset({'soda', 'milk'})","frozenset({'chips', 'bread'})",0.4,0.4,0.325,0.8125,2.03125,1.0,0.16499999999999998,3.1999999999999997,0.846153846153846,0.6842105263157895,0.6875,0.8125
"frozenset({'diapers', 'soda', 'bread'})","frozenset({'chips', 'milk'})",0.3,0.375,0.225,0.75,2.0,1.0,0.11250000000000002,2.5,0.7142857142857144,0.49999999999999994,0.6,0.675
"frozenset({'chips', 'bread'})","frozenset({'diapers', 'soda', 'milk', 'beer'})",0.4,0.25,0.2,0.5,2.0,1.0,0.1,1.5,0.8333333333333334,0.4444444444444445,0.3333333333333333,0.65
"frozenset({'chips', 'milk'})","frozenset({'diapers', 'soda', 'beer'})",0.375,0.3,0.225,0.6,2.0,1.0,0.11250000000000002,1.7499999999999998,0.8000000000000002,0.49999999999999994,0.4285714285714286,0.675
"frozenset({'diapers', 'soda', 'beer'})","frozenset({'chips', 'milk'})",0.3,0.375,0.225,0.75,2.0,1.0,0.11250000000000002,2.5,0.7142857142857144,0.49999999999999994,0.6,0.675
"frozenset({'chips', 'milk'})","frozenset({'diapers', 'soda', 'bread'})",0.375,0.3,0.225,0.6,2.0,1.0,0.11250000000000002,1.7499999999999998,0.8000000000000002,0.49999999999999994,0.4285714285714286,0.675
