antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'bread'}),frozenset({'beer'}),0.65,0.6,0.35,0.5384615384615384,0.8974358974358975,1.0,-0.040000000000000036,0.8666666666666667,-0.24615384615384636,0.38888888888888884,-0.15384615384615385,0.5608974358974359
frozenset({'beer'}),frozenset({'bread'}),0.6,0.65,0.35,0.5833333333333334,0.8974358974358975,1.0,-0.040000000000000036,0.84,-0.2222222222222224,0.38888888888888884,-0.19047619047619044,0.5608974358974359
frozenset({'cola'}),frozenset({'beer'}),0.35,0.6,0.2,0.5714285714285715,0.9523809523809526,1.0,-0.009999999999999981,0.9333333333333336,-0.0714285714285713,0.26666666666666666,-0.07142857142857117,0.45238095238095244
frozenset({'diapers'}),frozenset({'beer'}),0.475,0.6,0.35,0.7368421052631579,1.2280701754385965,1.0,0.065,1.5199999999999998,0.35374149659863946,0.48275862068965514,0.3421052631578947,0.6600877192982456
frozenset({'beer'}),frozenset({'diapers'}),0.6,0.475,0.35,0.5833333333333334,1.2280701754385965,1.0,0.065,1.2600000000000002,0.46428571428571436,0.48275862068965514,0.20634920634920645,0.6600877192982456
frozenset({'milk'}),frozenset({'beer'}),0.6,0.6,0.3,0.5,0.8333333333333334,1.0,-0.06,0.8,-0.3333333333333333,0.33333333333333337,-0.24999999999999994,0.5
frozenset({'beer'}),frozenset({'milk'}),0.6,0.6,0.3,0.5,0.8333333333333334,1.0,-0.06,0.8,-0.3333333333333333,0.33333333333333337,-0.24999999999999994,0.5
frozenset({'cola'}),frozenset({'bread'}),0.35,0.65,0.225,0.6428571428571429,0.989010989010989,1.0,-0.0024999999999999745,0.9800000000000001,-0.01680672268907546,0.2903225806451613,-0.02040816326530605,0.4945054945054945
frozenset({'diapers'}),frozenset({'bread'}),0.475,0.65,0.275,0.5789473684210527,0.8906882591093117,1.0,-0.03374999999999995,0.83125,-0.18947368421052604,0.3235294117647059,-0.2030075187969925,0.5010121457489879
frozenset({'milk'}),frozenset({'bread'}),0.6,0.65,0.6,1.0,1.5384615384615383,1.0,0.20999999999999996,inf,0.8749999999999999,0.923076923076923,1.0,0.9615384615384615
frozenset({'bread'}),frozenset({'milk'}),0.65,0.6,0.6,0.923076923076923,1.5384615384615383,1.0,0.20999999999999996,5.199999999999997,0.9999999999999999,0.923076923076923,0.8076923076923076,0.9615384615384615
frozenset({'cola'}),frozenset({'milk'}),0.35,0.6,0.225,0.6428571428571429,1.0714285714285716,1.0,0.015000000000000013,1.12,0.10256410256410264,0.3103448275862069,0.10714285714285732,0.5089285714285714
frozenset({'diapers'}),frozenset({'milk'}),0.475,0.6,0.25,0.5263157894736842,0.8771929824561403,1.0,-0.034999999999999976,0.8444444444444444,-0.21052631578947356,0.30303030303030304,-0.1842105263157895,0.4714912280701754
"frozenset({'milk', 'bread'})",frozenset({'beer'}),0.6,0.6,0.3,0.5,0.8333333333333334,1.0,-0.06,0.8,-0.3333333333333333,0.33333333333333337,-0.24999999999999994,0.5
"frozenset({'beer', 'bread'})",frozenset({'milk'}),0.35,0.6,0.3,0.8571428571428572,1.4285714285714288,1.0,0.09,2.8000000000000016,0.4615384615384615,0.46153846153846156,0.642857142857143,0.6785714285714286
"frozenset({'milk', 'beer'})",frozenset({'bread'}),0.3,0.65,0.3,1.0,1.5384615384615383,1.0,0.10499999999999998,inf,0.49999999999999994,0.46153846153846156,1.0,0.7307692307692307
frozenset({'milk'}),"frozenset({'beer', 'bread'})",0.6,0.35,0.3,0.5,1.4285714285714286,1.0,0.09,1.3,0.75,0.46153846153846156,0.23076923076923078,0.6785714285714286
frozenset({'beer'}),"frozenset({'milk', 'bread'})",0.6,0.6,0.3,0.5,0.8333333333333334,1.0,-0.06,0.8,-0.3333333333333333,0.33333333333333337,-0.24999999999999994,0.5
"frozenset({'milk', 'cola'})",frozenset({'bread'}),0.225,0.65,0.225,1.0,1.5384615384615383,1.0,0.07874999999999999,inf,0.4516129032258064,0.34615384615384615,1.0,0.6730769230769231
"frozenset({'cola', 'bread'})",frozenset({'milk'}),0.225,0.6,0.225,1.0,1.6666666666666667,1.0,0.09,inf,0.5161290322580645,0.375,1.0,0.6875
frozenset({'cola'}),"frozenset({'milk', 'bread'})",0.35,0.6,0.225,0.6428571428571429,1.0714285714285716,1.0,0.015000000000000013,1.12,0.10256410256410264,0.3103448275862069,0.10714285714285732,0.5089285714285714
"frozenset({'diapers', 'milk'})",frozenset({'bread'}),0.25,0.65,0.25,1.0,1.5384615384615383,1.0,0.0875,inf,0.4666666666666666,0.3846153846153846,1.0,0.6923076923076923
"frozenset({'diapers', 'bread'})",frozenset({'milk'}),0.275,0.6,0.25,0.9090909090909091,1.5151515151515151,1.0,0.08499999999999999,4.399999999999999,0.4689655172413793,0.4,0.7727272727272727,0.6628787878787878
frozenset({'diapers'}),"frozenset({'milk', 'bread'})",0.475,0.6,0.25,0.5263157894736842,0.8771929824561403,1.0,-0.034999999999999976,0.8444444444444444,-0.21052631578947356,0.30303030303030304,-0.1842105263157895,0.4714912280701754
