support,itemsets
0.6,frozenset({'beer'})
0.65,frozenset({'bread'})
0.225,frozenset({'butter'})
0.275,frozenset({'cereal'})
0.225,frozenset({'cheese'})
0.2,frozenset({'chips'})
0.225,frozenset({'coffee'})
0.35,frozenset({'cola'})
0.475,frozenset({'diapers'})
0.2,frozenset({'juice'})
0.6,frozenset({'milk'})
0.25,frozenset({'napkins'})
0.35,"frozenset({'bread', 'beer'})"
0.2,"frozenset({'cola', 'beer'})"
0.35,"frozenset({'diapers', 'beer'})"
0.3,"frozenset({'milk', 'beer'})"
0.225,"frozenset({'cola', 'bread'})"
0.275,"frozenset({'diapers', 'bread'})"
0.6,"frozenset({'milk', 'bread'})"
0.225,"frozenset({'cola', 'milk'})"
0.25,"frozenset({'diapers', 'milk'})"
0.3,"frozenset({'bread', 'milk', 'beer'})"
0.225,"frozenset({'milk', 'cola', 'bread'})"
0.25,"frozenset({'diapers', 'milk', 'bread'})"
